year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,dui,felony,misdemeanor,dui_rate,felony_rate,misdemeanor_rate
1979,48,95.0,Knox,9,Central,Mostly Urban,24.3,61700,,174.0,1003.0,,282.0,1625.6
1979,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,440700,,1236.0,2655.0,,280.5,602.5
1979,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,108800,,318.0,1506.0,,292.3,1384.2
1979,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,17800,,37.0,170.0,,207.9,955.1
1979,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36500,,154.0,933.0,,421.9,2556.2
1979,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41500,,252.0,918.0,,607.2,2212.0
1979,54,107.0,Logan,11,Central,Mostly Urban,39.9,31600,,69.0,268.0,,218.4,848.1
1979,55,109.0,McDonough,9,Central,Mostly Urban,29.5,37200,,87.0,455.0,,233.9,1223.1
1979,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,143600,,602.0,2022.0,,419.2,1408.1
1979,57,113.0,McLean,11,Central,Mostly Urban,16.5,118200,,580.0,1837.0,,490.7,1554.1
1979,58,115.0,Macon,6,Central,Mostly Urban,15.3,132400,,719.0,1834.0,,543.1,1385.2
1979,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48500,,132.0,332.0,,272.2,684.5
1979,60,119.0,Madison,3,Southern,Mostly Urban,13.3,251500,,722.0,3084.0,,287.1,1226.2
1979,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44000,,215.0,650.0,,488.6,1477.3
1979,62,123.0,Marshall,10,Central,Completely Rural,100.0,13900,,40.0,156.0,,287.8,1122.3
1979,63,125.0,Mason,8,Central,Mostly Rural,77.5,19500,,97.0,497.0,,497.4,2548.7
1979,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15200,,119.0,201.0,,782.9,1322.4
1979,65,129.0,Menard,8,Central,Mostly Rural,75.7,11300,,39.0,89.0,,345.1,787.6
1979,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19600,,60.0,169.0,,306.1,862.2
1979,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,19800,,47.0,175.0,,237.4,883.8
1979,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31800,,103.0,450.0,,323.9,1415.1
1979,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37300,,136.0,367.0,,364.6,983.9
1979,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14600,,69.0,155.0,,472.6,1061.6
1979,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46300,,138.0,676.0,,298.1,1460.0
1979,72,143.0,Peoria,10,Central,Mostly Urban,14.6,200400,,1077.0,2782.0,,537.4,1388.2
1979,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21700,,114.0,200.0,,525.3,921.7
1979,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16500,,82.0,214.0,,497.0,1297.0
1979,75,149.0,Pike,8,Central,Mostly Rural,72.3,18900,,52.0,245.0,,275.1,1296.3
1979,76,151.0,Pope,1,Southern,Completely Rural,100.0,4600,,29.0,82.0,,630.4,1782.6
1979,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,9300,,82.0,182.0,,881.7,1957.0
1979,78,155.0,Putnam,10,Central,Completely Rural,100.0,6000,,22.0,17.0,,366.7,283.3
1979,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35200,,90.0,238.0,,255.7,676.1
1979,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18000,,106.0,521.0,,588.9,2894.4
1979,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166300,,890.0,3288.0,,535.2,1977.1
1979,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,271700,,921.0,4101.0,,339.0,1509.4
1979,83,165.0,Saline,1,Southern,Mostly Urban,43.7,27400,,144.0,146.0,,525.5,532.8
1979,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,176200,,664.0,2131.0,,376.8,1209.4
1979,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8200,,13.0,62.0,,158.5,756.1
1979,86,171.0,Scott,7,Central,Completely Rural,100.0,6200,,21.0,31.0,,338.7,500.0
1979,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23600,,55.0,136.0,,233.1,576.3
1979,88,175.0,Stark,10,Central,Completely Rural,100.0,7300,,16.0,84.0,,219.2,1150.7
1979,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49300,,232.0,710.0,,470.6,1440.2
1979,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130500,,220.0,428.0,,168.6,328.0
1979,91,181.0,Union,1,Southern,Mostly Rural,65.9,16900,,66.0,121.0,,390.5,716.0
1979,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,96900,,304.0,859.0,,313.7,886.5
1979,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13500,,49.0,649.0,,363.0,4807.4
1979,94,187.0,Warren,9,Central,Mostly Urban,45.5,22000,,111.0,382.0,,504.5,1736.4
1979,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15100,,16.0,47.0,,106.0,311.3
1979,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18200,,56.0,155.0,,307.7,851.6
1979,97,193.0,White,2,Southern,Mostly Rural,62.0,17600,,68.0,230.0,,386.4,1306.8
1979,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,66300,,122.0,900.0,,184.0,1357.5
1979,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,319600,,698.0,2218.0,,218.4,694.0
1979,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,56700,,249.0,484.0,,439.2,853.6
1979,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,247700,,1220.0,4910.0,,492.5,1982.2
1979,102,203.0,Woodford,11,Central,Mostly Rural,54.9,31900,,164.0,344.0,,514.1,1078.4
1980,1,1.0,Adams,8,Central,Mostly Urban,32.6,71622,,292.0,479.0,,407.7,668.8
1980,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12264,,100.0,346.0,,815.4,2821.3
1980,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16224,,41.0,183.0,,252.7,1128.0
1980,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,28630,,101.0,538.0,,352.8,1879.1
1980,5,9.0,Brown,8,Central,Mostly Urban,41.1,5411,,42.0,146.0,,776.2,2698.2
1980,6,11.0,Bureau,13,Central,Mostly Rural,57.4,39114,,103.0,438.0,,263.3,1119.8
1980,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5867,,14.0,94.0,,238.6,1602.2
1980,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18779,,38.0,198.0,,202.4,1054.4
1980,9,17.0,Cass,8,Central,Mostly Rural,52.1,15084,,64.0,268.0,,424.3,1776.7
1980,10,19.0,Champaign,6,Central,Mostly Urban,12.7,168392,,787.0,771.0,,467.4,457.9
1980,11,21.0,Christian,4,Central,Mostly Urban,43.5,36446,,99.0,170.0,,271.6,466.4
1980,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16913,,52.0,262.0,,307.5,1549.1
1980,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15283,,69.0,186.0,,451.5,1217.0
1980,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,32617,,87.0,377.0,,266.7,1155.8
1980,15,29.0,Coles,5,Central,Mostly Urban,24.3,52260,,246.0,428.0,,470.7,819.0
1980,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5253628,,16486.0,426861.0,,313.8,8125.1
1980,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20818,,58.0,164.0,,278.6,787.8
1980,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11062,,26.0,226.0,,235.0,2043.0
1980,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74628,,146.0,1343.0,,195.6,1799.6
1980,20,39.0,De Witt,6,Central,Mostly Urban,48.8,18108,,81.0,234.0,,447.3,1292.2
1980,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19774,,94.0,139.0,,475.4,702.9
1980,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,658876,,2607.0,7171.0,,395.7,1088.4
1980,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21725,,103.0,261.0,,474.1,1201.4
1980,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7961,,53.0,174.0,,665.7,2185.7
1980,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,30944,,123.0,518.0,,397.5,1674.0
1980,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22167,,83.0,229.0,,374.4,1033.1
1980,27,53.0,Ford,11,Central,Mostly Urban,41.8,15265,,45.0,161.0,,294.8,1054.7
1980,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43201,,172.0,503.0,,398.1,1164.3
1980,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43687,,148.0,433.0,,338.8,991.1
1980,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7590,,43.0,158.0,,566.5,2081.7
1980,31,61.0,Greene,7,Central,Mostly Rural,70.8,16661,,54.0,183.0,,324.1,1098.4
1980,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30582,,82.0,437.0,,268.1,1428.9
1980,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9172,,44.0,137.0,,479.7,1493.7
1980,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23877,,51.0,162.0,,213.6,678.5
1980,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5383,,35.0,77.0,,650.2,1430.4
1980,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9114,,60.0,207.0,,658.3,2271.2
1980,37,73.0,Henry,14,Central,Mostly Rural,50.3,57968,,145.0,525.0,,250.1,905.7
1980,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,32976,,96.0,411.0,,291.1,1246.4
1980,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,61649,,371.0,453.0,,601.8,734.8
1980,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11318,,41.0,91.0,,362.3,804.0
1980,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,36558,,274.0,262.0,,749.5,716.7
1980,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20538,,96.0,411.0,,467.4,2001.2
1980,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23520,,174.0,380.0,,739.8,1615.6
1980,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9624,,48.0,173.0,,498.8,1797.6
1980,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,278405,,1509.0,5490.0,,542.0,1971.9
1980,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102926,,379.0,1084.0,,368.2,1053.2
1980,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37202,,99.0,335.0,,266.1,900.5
1980,48,95.0,Knox,9,Central,Mostly Urban,24.3,61607,,169.0,917.0,,274.3,1488.5
1980,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,440387,,1639.0,2769.0,,372.2,628.8
1980,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,112033,,347.0,1564.0,,309.7,1396.0
1980,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,17807,,45.0,247.0,,252.7,1387.1
1980,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36328,,168.0,1191.0,,462.5,3278.5
